,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
450,1.0,0.8,50,1,0,0.0
451,1.0,0.8,51,1,1,0.0
452,1.0,0.8,52,0,1,0.0
453,1.0,0.8,53,1,1,0.0
454,1.0,0.8,54,1,1,1.0
455,1.0,0.8,55,0,0,1.0
456,1.0,0.8,56,0,0,0.0
457,1.0,0.8,57,0,1,0.0
458,1.0,0.8,58,0,0,1.0
459,1.0,0.8,59,0,1,6.077163357286273e-64
460,1.0,0.8,60,1,1,0.0
461,1.0,0.8,61,0,0,1.0
462,1.0,0.8,62,0,1,6.077163357286273e-64
463,1.0,0.8,63,0,0,0.0
464,1.0,0.8,64,1,1,1.0
465,1.0,0.8,65,1,1,1.0
466,1.0,0.8,66,1,1,1.0
467,1.0,0.8,67,0,1,6.077163357286273e-64
468,1.0,0.8,68,1,0,0.9999999999999997
469,1.0,0.8,69,1,1,1.0
470,1.0,0.8,70,1,0,6.077163357286273e-64
471,1.0,0.8,71,0,0,1.0
472,1.0,0.8,72,1,0,0.0
473,1.0,0.8,73,1,1,1.0
474,1.0,0.8,74,1,1,1.0
475,1.0,0.8,75,0,1,6.077163357286273e-64
476,1.0,0.8,76,0,0,1.0
477,1.0,0.8,77,0,0,1.0
478,1.0,0.8,78,0,0,1.0
479,1.0,0.8,79,1,1,0.0
480,1.0,0.8,80,0,0,1.0
481,1.0,0.8,81,0,0,1.0
482,1.0,0.8,82,1,0,0.0
483,1.0,0.8,83,1,1,1.0
484,1.0,0.8,84,0,1,0.0
485,1.0,0.8,85,1,1,1.0
486,1.0,0.8,86,1,1,1.0
487,1.0,0.8,87,1,1,1.0
488,1.0,0.8,88,1,0,0.9999999999999997
489,1.0,0.8,89,0,0,1.0
490,1.0,0.8,90,0,0,1.0
491,1.0,0.8,91,0,0,1.0
492,1.0,0.8,92,1,1,0.0
493,1.0,0.8,93,1,1,1.0
494,1.0,0.8,94,1,1,0.0
495,1.0,0.8,95,0,0,1.0
496,1.0,0.8,96,1,0,1.0
497,1.0,0.8,97,0,1,0.0
498,1.0,0.8,98,0,0,1.0
499,1.0,0.8,99,1,0,1.5192908393215678e-64
500,1.0,1.0,0,0,0,1.0
501,1.0,1.0,1,1,1,1.0
502,1.0,1.0,2,0,0,1.0
503,1.0,1.0,3,1,1,1.0
504,1.0,1.0,4,0,0,1.0
505,1.0,1.0,5,0,0,1.0
506,1.0,1.0,6,1,1,1.0
507,1.0,1.0,7,0,0,1.0
508,1.0,1.0,8,1,1,1.0
509,1.0,1.0,9,0,0,1.0
510,1.0,1.0,10,0,0,1.0
511,1.0,1.0,11,1,1,1.0
512,1.0,1.0,12,0,0,1.0
513,1.0,1.0,13,1,1,1.0
514,1.0,1.0,14,0,0,1.0
515,1.0,1.0,15,0,0,1.0
516,1.0,1.0,16,0,0,1.0
517,1.0,1.0,17,1,1,1.0
518,1.0,1.0,18,0,0,1.0
519,1.0,1.0,19,1,1,1.0
520,1.0,1.0,20,1,1,1.0
521,1.0,1.0,21,1,1,1.0
522,1.0,1.0,22,1,1,1.0
523,1.0,1.0,23,1,1,1.0
524,1.0,1.0,24,1,1,1.0
525,1.0,1.0,25,1,1,1.0
526,1.0,1.0,26,0,0,1.0
527,1.0,1.0,27,0,0,1.0
528,1.0,1.0,28,1,1,1.0
529,1.0,1.0,29,0,0,1.0
530,1.0,1.0,30,1,1,1.0
531,1.0,1.0,31,0,0,1.0
532,1.0,1.0,32,0,0,1.0
533,1.0,1.0,33,0,0,1.0
534,1.0,1.0,34,1,1,1.0
535,1.0,1.0,35,0,0,1.0
536,1.0,1.0,36,0,0,1.0
537,1.0,1.0,37,1,1,1.0
538,1.0,1.0,38,0,0,1.0
539,1.0,1.0,39,1,1,1.0
540,1.0,1.0,40,0,0,1.0
541,1.0,1.0,41,1,1,1.0
542,1.0,1.0,42,1,1,1.0
543,1.0,1.0,43,1,1,1.0
544,1.0,1.0,44,1,1,1.0
545,1.0,1.0,45,1,1,1.0
546,1.0,1.0,46,1,1,1.0
547,1.0,1.0,47,1,1,1.0
548,1.0,1.0,48,0,0,1.0
549,1.0,1.0,49,0,0,1.0
550,1.0,1.0,50,0,0,1.0
551,1.0,1.0,51,0,0,1.0
552,1.0,1.0,52,0,0,1.0
553,1.0,1.0,53,0,0,1.0
554,1.0,1.0,54,0,0,1.0
555,1.0,1.0,55,1,1,1.0
556,1.0,1.0,56,0,0,1.0
557,1.0,1.0,57,0,0,1.0
558,1.0,1.0,58,1,1,1.0
559,1.0,1.0,59,0,0,1.0
560,1.0,1.0,60,0,0,1.0
561,1.0,1.0,61,0,0,1.0
562,1.0,1.0,62,1,1,1.0
563,1.0,1.0,63,1,1,1.0
564,1.0,1.0,64,1,1,1.0
565,1.0,1.0,65,0,0,1.0
566,1.0,1.0,66,1,1,1.0
567,1.0,1.0,67,0,0,1.0
568,1.0,1.0,68,0,0,1.0
569,1.0,1.0,69,1,1,1.0
570,1.0,1.0,70,1,1,1.0
571,1.0,1.0,71,0,0,1.0
572,1.0,1.0,72,0,0,1.0
573,1.0,1.0,73,0,0,1.0
574,1.0,1.0,74,0,0,1.0
575,1.0,1.0,75,1,1,1.0
576,1.0,1.0,76,1,1,1.0
577,1.0,1.0,77,1,1,1.0
578,1.0,1.0,78,1,1,1.0
579,1.0,1.0,79,0,0,1.0
580,1.0,1.0,80,0,0,1.0
581,1.0,1.0,81,1,1,1.0
582,1.0,1.0,82,1,1,1.0
583,1.0,1.0,83,1,1,1.0
584,1.0,1.0,84,0,0,1.0
585,1.0,1.0,85,1,1,1.0
586,1.0,1.0,86,0,0,1.0
587,1.0,1.0,87,0,0,1.0
588,1.0,1.0,88,1,1,1.0
589,1.0,1.0,89,0,0,1.0
590,1.0,1.0,90,1,1,1.0
591,1.0,1.0,91,0,0,1.0
592,1.0,1.0,92,1,1,1.0
593,1.0,1.0,93,1,1,1.0
594,1.0,1.0,94,1,1,1.0
595,1.0,1.0,95,0,0,1.0
596,1.0,1.0,96,0,0,1.0
597,1.0,1.0,97,0,0,1.0
598,1.0,1.0,98,1,1,1.0
599,1.0,1.0,99,1,1,1.0
