,Gate fidelity,EPR channel fidelity,Sample index,M_Alice_1,M_Alice_2,M_Bob_1,M_Bob_2,Fidelity
445,1.0,0.8,45,1,0,1,0,1.0
446,1.0,0.8,46,1,0,1,0,0.0
447,1.0,0.8,47,1,0,0,0,1.0
448,1.0,0.8,48,1,0,1,0,1.0
449,1.0,0.8,49,0,0,0,0,1.0
450,1.0,0.8,50,0,1,0,1,1.0
451,1.0,0.8,51,0,0,0,0,1.0
452,1.0,0.8,52,1,0,1,0,1.0
453,1.0,0.8,53,0,0,0,0,1.0
454,1.0,0.8,54,1,1,1,0,6.077163357286273e-64
455,1.0,0.8,55,1,0,1,0,1.0
456,1.0,0.8,56,0,0,0,0,1.0
457,1.0,0.8,57,1,1,1,1,1.0
458,1.0,0.8,58,1,0,1,0,1.0
459,1.0,0.8,59,0,0,0,0,1.0
460,1.0,0.8,60,1,0,1,0,1.0
461,1.0,0.8,61,0,0,0,0,1.0
462,1.0,0.8,62,1,1,0,1,0.0
463,1.0,0.8,63,1,0,0,1,0.0
464,1.0,0.8,64,0,0,0,0,1.0
465,1.0,0.8,65,1,0,1,0,1.0
466,1.0,0.8,66,0,1,0,1,0.0
467,1.0,0.8,67,1,1,1,1,1.0
468,1.0,0.8,68,0,1,0,1,0.0
469,1.0,0.8,69,1,1,1,0,6.077163357286273e-64
470,1.0,0.8,70,0,1,0,1,1.0
471,1.0,0.8,71,1,1,1,1,1.0
472,1.0,0.8,72,0,0,0,0,1.0
473,1.0,0.8,73,1,0,1,0,1.0
474,1.0,0.8,74,0,1,1,1,0.0
475,1.0,0.8,75,1,1,1,1,1.0
476,1.0,0.8,76,0,1,0,1,1.0
477,1.0,0.8,77,1,0,1,0,1.0
478,1.0,0.8,78,0,1,0,1,1.0
479,1.0,0.8,79,0,1,0,1,1.0
480,1.0,0.8,80,0,0,0,0,1.0
481,1.0,0.8,81,1,1,1,1,1.0
482,1.0,0.8,82,0,0,0,0,1.0
483,1.0,0.8,83,1,0,1,1,6.077163357286273e-64
484,1.0,0.8,84,0,0,0,0,1.0
485,1.0,0.8,85,1,0,1,0,1.0
486,1.0,0.8,86,0,0,1,1,0.0
487,1.0,0.8,87,1,0,1,0,0.0
488,1.0,0.8,88,0,0,0,0,1.0
489,1.0,0.8,89,1,1,1,0,0.9999999999999997
490,1.0,0.8,90,1,1,1,1,1.0
491,1.0,0.8,91,1,0,1,1,6.077163357286273e-64
492,1.0,0.8,92,0,0,0,0,1.0
493,1.0,0.8,93,1,1,1,1,1.0
494,1.0,0.8,94,1,1,1,0,0.0
495,1.0,0.8,95,1,0,1,0,1.0
496,1.0,0.8,96,0,1,0,0,0.9999999999999997
497,1.0,0.8,97,0,1,0,0,0.9999999999999998
498,1.0,0.8,98,1,1,1,1,1.0
499,1.0,0.8,99,1,1,1,0,6.077163357286273e-64
500,1.0,1.0,0,1,1,1,1,1.0
501,1.0,1.0,1,1,1,1,1,1.0
502,1.0,1.0,2,1,0,1,0,1.0
503,1.0,1.0,3,1,0,1,0,1.0
504,1.0,1.0,4,1,1,1,1,1.0
505,1.0,1.0,5,0,0,0,0,1.0
506,1.0,1.0,6,0,1,0,1,1.0
507,1.0,1.0,7,1,1,1,1,1.0
508,1.0,1.0,8,1,1,1,1,1.0
509,1.0,1.0,9,0,0,0,0,1.0
510,1.0,1.0,10,1,0,1,0,1.0
511,1.0,1.0,11,0,0,0,0,1.0
512,1.0,1.0,12,1,0,1,0,1.0
513,1.0,1.0,13,0,1,0,1,1.0
514,1.0,1.0,14,1,1,1,1,1.0
515,1.0,1.0,15,0,0,0,0,1.0
516,1.0,1.0,16,0,1,0,1,1.0
517,1.0,1.0,17,0,1,0,1,1.0
518,1.0,1.0,18,1,1,1,1,1.0
